Table 1 30-Day Readmission for Mental Health and Substance Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator,Reporting level,Place or organization,Hospital Peer Group,Corporation,Region,Province/Territory,Urban or rural/remote,Trend note,Time Scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Risk-adjusted rate,Risk-adjusted rate: Confidence interval lower limit,Risk-adjusted rate: Confidence interval upper limit,Risk-adjusted rate: Statistically different,Risk-adjusted rate: Performance comparison,Risk-adjusted rate: Performance trend,Risk-adjusted rate: Top results,Risk-adjusted rate: Relative standing scatter plot confidence intervals,Numerator,Denominator,Crude rate,Disparity rate ratio,Disparity rate ratio: Confidence interval lower limit,Disparity rate ratio: Confidence interval upper limit,Disparity rate ratio: Statistically different,Potential rate reduction,Potential rate reduction: Confidence interval lower limit,Potential rate reduction: Confidence interval upper limit,Potential rate reduction: Statistically different,Expected
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q4,10.4,7.98,13.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,Nova Scotia,–,–,–,Nova Scotia,–,–,Fiscal year,2024–2025,Neighbourhood income quintile,Q5 (highest income),7.4,5.29,10.35,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Not applicable,Not applicable,11.8,10.84,12.83,No,–,–,–,–,–,–,–,1.3,0.97,1.84,No,14.7,-11.90,35.51,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,6.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,10.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.7,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,12.6,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,10.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,12.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q1 (lowest income),13.4,11.68,15.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Urban,11.4,10.26,12.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q2,10.8,8.86,13.04,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Urban versus rural/remote,Rural/remote,12.4,10.82,14.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q3,11.8,9.61,14.50,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q4,11.0,8.76,13.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2015–2016,Neighbourhood income quintile,Q5 (highest income),10.0,7.56,13.16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Not applicable,Not applicable,12.2,11.22,13.21,No,–,–,–,–,–,–,–,1.1,0.81,1.48,No,6.6,-19.54,27.68,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,9.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,10.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Age group,65+,–,–,–,–,–,–,–,–,–,–,11.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.2,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q1 (lowest income),12.4,10.73,14.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Urban,12.3,11.11,13.63,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q2,14.2,12.14,16.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Urban versus rural/remote,Rural/remote,12.0,10.36,13.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q3,10.4,8.29,13.00,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,11.1,8.97,13.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2016–2017,Neighbourhood income quintile,Q5 (highest income),11.3,8.67,14.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Not applicable,Not applicable,11.9,10.94,12.87,No,–,–,–,–,–,–,–,1.2,0.87,1.55,No,5.6,-20.03,26.30,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,8.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,13.5,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,14.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Age group,65+,–,–,–,–,–,–,–,–,–,–,6.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,12.0,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Urban,12.0,10.88,13.31,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q1 (lowest income),13.0,11.29,14.81,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q2,11.8,9.97,13.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Urban versus rural/remote,Rural/remote,11.5,9.98,13.20,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,9.2,7.26,11.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,12.9,10.58,15.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2017–2018,Neighbourhood income quintile,Q5 (highest income),11.2,8.60,14.36,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Not applicable,Not applicable,11.8,10.87,12.84,No,–,–,–,–,–,–,–,0.9,0.70,1.22,No,-0.7,-23.90,18.65,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,9.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,14.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,12.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,10.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.1,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Recorded sex or gender,Female,–,–,–,–,–,–,–,–,–,–,11.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Recorded sex or gender,Male,–,–,–,–,–,–,–,–,–,–,11.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q1 (lowest income),10.9,9.37,12.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Urban,11.6,10.39,12.86,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Urban versus rural/remote,Rural/remote,12.2,10.59,13.94,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q2,13.1,11.08,15.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q3,10.3,8.21,12.93,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q4,13.0,10.61,15.86,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2018–2019,Neighbourhood income quintile,Q5 (highest income),11.9,9.41,14.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Not applicable,Not applicable,12.3,11.23,13.35,No,–,–,–,–,–,–,–,0.9,0.70,1.27,No,1.3,-23.72,21.91,No,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Age group,0 to 14,–,–,–,–,–,–,–,–,–,–,8.9,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Age group,15 to 24,–,–,–,–,–,–,–,–,–,–,12.8,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Age group,25 to 44,–,–,–,–,–,–,–,–,–,–,13.3,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Age group,45 to 64,–,–,–,–,–,–,–,–,–,–,11.4,–,–,–,–,–,–,–,–,–
30-Day Readmission for Mental Health and Substance Use,Province/territory,New Brunswick,–,–,–,New Brunswick,–,–,Fiscal year,2019–2020,Age group,65+,–,–,–,–,–,–,–,–,–,–,7.7,–,–,–,–,–,–,–,–,–
