Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,556,"Per 100,000",523,590,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,595,"Per 100,000",577,614,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,595,"Per 100,000",566,625,-,-,-,-,-,-,"October 15, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,595,"Per 100,000",544,651,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,500,"Per 100,000",474,528,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,542,"Per 100,000",514,571,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,619,"Per 100,000",590,650,-,"225,546",-,-,-,-,"October 15, 2025"
Manitoba,Manitoba,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,348,"Per 100,000",339,357,-,-,-,3.7,45.7,-,"October 15, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,348,"Per 100,000",339,357,-,-,-,-,-,-,"October 15, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,348,"Per 100,000",332,365,-,-,-,-,-,-,"October 15, 2025"
Okanagan HSDA (B.C.),British Columbia,Okanagan HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,348,"Per 100,000",331,366,-,-,-,-,-,-,"October 15, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,348,"Per 100,000",332,365,-,-,-,-,-,-,"October 15, 2025"
Yukon,Yukon,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,590,"Per 100,000",527,662,-,-,-,-,-,-,"October 15, 2025"
