Place or organization,Province/territory,Region,Reporting level,Indicator,Time scale,Time frame,Age-standardized rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Denominator,Crude rate,Rate ratio (income),Potential rate reduction (income),Percent,Refresh date
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,337,"Per 100,000",314,361,-,-,-,-,-,-,"October 15, 2025"
Montréal Region (Que.),Quebec,Montréal Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,337,"Per 100,000",330,344,-,-,-,-,-,-,"October 15, 2025"
Algoma Public Health (Ont.),Ontario,Algoma Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,402,"Per 100,000",370,438,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,402,"Per 100,000",377,428,-,-,-,-,-,-,"October 15, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,402,"Per 100,000",373,433,-,-,-,-,-,-,"October 15, 2025"
Kootenay–Boundary HSDA (B.C.),British Columbia,Kootenay–Boundary HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,402,"Per 100,000",365,444,-,-,-,-,-,-,"October 15, 2025"
Wellington–Dufferin–Guelph Public Health (Ont.),Ontario,Wellington–Dufferin–Guelph Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,402,"Per 100,000",380,424,-,-,-,-,-,-,"October 15, 2025"
West Region (Ont.),Ontario,West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,402,"Per 100,000",396,408,-,-,-,-,-,-,"October 15, 2025"
Zone 1 (Moncton Area) (N.B.),New Brunswick,Zone 1 (Moncton Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,402,"Per 100,000",379,427,-,-,-,-,-,-,"October 15, 2025"
Alberta,Alberta,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,373,"Per 100,000",367,378,-,-,-,3.3,43.9,-,"October 15, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,373,"Per 100,000",352,395,-,-,-,-,-,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,373,"Per 100,000",350,398,-,-,-,-,-,-,"October 15, 2025"
Niagara Region Public Health (Ont.),Ontario,Niagara Region Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,373,"Per 100,000",358,389,-,-,-,-,-,-,"October 15, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,373,"Per 100,000",352,394,-,-,-,-,-,-,"October 15, 2025"
Quebec,Quebec,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,387,"Per 100,000",384,391,-,-,-,2.5,37.2,-,"October 15, 2025"
Eastern–Urban Zone (N.L.),Newfoundland and Labrador,Eastern–Urban Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,387,"Per 100,000",364,411,-,"216,152",-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,387,"Per 100,000",359,418,-,-,-,-,-,-,"October 15, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,387,"Per 100,000",374,400,-,-,-,-,-,-,"October 15, 2025"
Outaouais Region (Que.),Quebec,Outaouais Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,387,"Per 100,000",371,405,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,555,"Per 100,000",535,575,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,555,"Per 100,000",489,631,-,-,-,-,-,-,"October 15, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,555,"Per 100,000",531,580,-,-,-,-,-,-,"October 15, 2025"
Timiskaming Health Unit (Ont.),Ontario,Timiskaming Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,555,"Per 100,000",489,634,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,607,"Per 100,000",541,683,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,589,"Per 100,000",525,662,-,-,-,-,-,-,"October 15, 2025"
North Central West Zone (Sask.),Saskatchewan,North Central West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,589,"Per 100,000",543,639,-,-,-,-,-,-,"October 15, 2025"
Northwest Territories,Northwest Territories,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,670,"Per 100,000",606,742,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,670,"Per 100,000",597,753,-,-,-,-,-,-,"October 15, 2025"
Zone 7 (Miramichi Area) (N.B.),New Brunswick,Zone 7 (Miramichi Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,670,"Per 100,000",603,747,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,709,"Per 100,000",637,792,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,636,"Per 100,000",566,716,-,-,-,-,-,-,"October 15, 2025"
North Central West Zone (Sask.),Saskatchewan,North Central West Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,636,"Per 100,000",589,687,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,626,"Per 100,000",558,705,-,-,-,-,-,-,"October 15, 2025"
North West Region (Ont.),Ontario,North West Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,626,"Per 100,000",597,657,-,-,-,-,-,-,"October 15, 2025"
Northwest HSDA (B.C.),British Columbia,Northwest HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,626,"Per 100,000",576,681,-,-,-,-,-,-,"October 15, 2025"
Central Zone (Alta.),Alberta,Central Zone (Alta.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,470,"Per 100,000",453,489,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2020–2021,470,"Per 100,000",410,539,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,470,"Per 100,000",441,500,-,-,-,-,-,-,"October 15, 2025"
South East Zone (Sask.),Saskatchewan,South East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,470,"Per 100,000",440,502,-,"167,989",-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,470,"Per 100,000",445,498,-,-,-,-,-,-,"October 15, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,470,"Per 100,000",444,498,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,470,"Per 100,000",443,500,-,-,-,-,-,-,"October 15, 2025"
Chatham-Kent Public Health (Ont.),Ontario,Chatham-Kent Public Health (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,400,"Per 100,000",366,437,-,-,-,-,-,-,"October 15, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,400,"Per 100,000",371,433,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,400,"Per 100,000",344,467,-,-,-,-,-,-,"October 15, 2025"
Simcoe Muskoka District Health Unit (Ont.),Ontario,Simcoe Muskoka District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,400,"Per 100,000",386,416,-,-,-,-,-,-,"October 15, 2025"
Yukon,Yukon,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,577,"Per 100,000",514,650,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,577,"Per 100,000",512,653,-,-,-,-,-,-,"October 15, 2025"
Porcupine Health Unit (Ont.),Ontario,Porcupine Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,577,"Per 100,000",531,626,-,-,-,-,-,-,"October 15, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,577,"Per 100,000",549,607,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,551,"Per 100,000",524,580,-,-,-,-,-,-,"October 15, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,551,"Per 100,000",519,585,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,551,"Per 100,000",486,626,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,551,"Per 100,000",534,569,-,-,-,-,-,-,"October 15, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,551,"Per 100,000",527,576,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2023–2024,551,"Per 100,000",517,587,-,-,-,-,-,-,"October 15, 2025"
Zone 6 (Bathurst Area) (N.B.),New Brunswick,Zone 6 (Bathurst Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,551,"Per 100,000",509,597,-,-,-,-,-,-,"October 15, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,533,"Per 100,000",515,551,-,-,-,-,-,-,"October 15, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2024–2025,533,"Per 100,000",468,609,-,"33,737",-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,533,"Per 100,000",503,566,-,-,-,-,-,-,"October 15, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,533,"Per 100,000",505,563,-,-,-,-,-,-,"October 15, 2025"
Zone 2 (Saint John Area) (N.B.),New Brunswick,Zone 2 (Saint John Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,533,"Per 100,000",504,565,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2013–2014,655,"Per 100,000",609,707,-,-,-,-,-,-,"October 15, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2022–2023,629,"Per 100,000",588,672,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,629,"Per 100,000",581,682,-,-,-,-,-,-,"October 15, 2025"
Zone 7 (Miramichi Area) (N.B.),New Brunswick,Zone 7 (Miramichi Area) (N.B.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,629,"Per 100,000",565,703,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,645,"Per 100,000",597,698,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,585,"Per 100,000",548,625,-,-,-,-,-,-,"October 15, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,585,"Per 100,000",567,603,-,-,-,-,-,-,"October 15, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,585,"Per 100,000",551,622,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,585,"Per 100,000",537,638,-,-,-,-,-,-,"October 15, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2016–2017,576,"Per 100,000",537,618,-,-,-,-,-,-,"October 15, 2025"
Terres-Cries-de-la-Baie-James Region (Que.),Quebec,Terres-Cries-de-la-Baie-James Region (Que.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2021–2022,576,"Per 100,000",474,702,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,576,"Per 100,000",530,628,-,-,-,-,-,-,"October 15, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,612,"Per 100,000",575,653,-,-,-,-,-,-,"October 15, 2025"
Northwest HSDA (B.C.),British Columbia,Northwest HSDA (B.C.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,612,"Per 100,000",565,665,-,-,-,-,-,-,"October 15, 2025"
Thunder Bay District Health Unit (Ont.),Ontario,Thunder Bay District Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,612,"Per 100,000",576,649,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2018–2019,612,"Per 100,000",564,665,-,-,-,-,-,-,"October 15, 2025"
Saskatchewan,Saskatchewan,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,572,"Per 100,000",559,586,-,-,-,-,-,-,"October 15, 2025"
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2015–2016,572,"Per 100,000",545,601,-,-,-,-,-,-,"October 15, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2014–2015,572,"Per 100,000",540,607,-,-,-,-,-,-,"October 15, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),Health region,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2019–2020,572,"Per 100,000",527,622,-,-,-,-,-,-,"October 15, 2025"
Newfoundland and Labrador,Newfoundland and Labrador,-,Province/territory,Ambulatory Care Sensitive Conditions Hospitalizations,Fiscal year,2017–2018,491,"Per 100,000",474,508,-,-,-,1.6,18.8,-,"October 15, 2025"
